Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,price change,ShiftedPB,ShiftedPS
12/31/2019,31.86,32.05,24,17,11055160.0,2.8710000000000004,7.223,1.66,,,,,-0.01415820252385352,2.8710000000000004,7.223
12/30/2019,32.49,32.03,24,17,9402711.0,2.952,7.393,1.73,,,,,-0.00610687022900772,2.952,7.393
12/27/2019,32.75,32.55,24,18,10412931.0,3.0,7.513,2.0,,,,,0.0012273703590058038,3.0,7.513
12/26/2019,32.59,32.63,24,18,9807822.0,3.008,7.531000000000001,2.79,,,,,0.0018495684340321295,3.008,7.531000000000001
12/24/2019,32.44,32.5,24,18,4290460.0,2.9960000000000004,7.501,2.31,,,,,0.009337068160597484,2.9960000000000004,7.501
12/23/2019,32.13,32.43,24,18,13991866.0,2.989,7.485,2.39,,,,,0.00031133250311348435,2.989,7.485
12/20/2019,32.12,32.13,24,0,21859644.0,2.9619999999999997,7.416,2.13,,,,,0.008818897637795312,2.9619999999999997,7.416
12/19/2019,31.75,32.03,24,0,19906716.0,2.952,7.393,2.06,,,,,0.03225806451612898,2.952,7.393
12/18/2019,30.69,31.68,24,0,19051476.0,2.92,7.312,1.26,,,,,-0.01190859349855169,2.92,7.312
12/17/2019,31.07,30.7,24,0,11911259.0,2.83,7.086,-0.21,,,,,0.014744429882044538,2.83,7.086
12/16/2019,30.52,30.97,24,0,15862114.0,2.855,7.148,-0.07,,,,,0.004960317460317531,2.855,7.148
12/13/2019,30.24,30.39,24,16,12844529.0,2.801,7.013999999999999,-0.78,,,,,-0.005579258286839454,2.801,7.013999999999999
12/12/2019,30.47,30.3,24,16,18921528.0,2.793,6.994,-0.66,,,,,0.02003338898163611,2.793,6.994
12/11/2019,29.95,30.55,24,16,11013913.0,2.8160000000000003,7.051,0.01,,,,,-0.01290109163083032,2.8160000000000003,7.051
12/10/2019,30.23,29.84,24,16,12375761.0,2.7510000000000003,6.8870000000000005,-0.19,,,,,0.0029880478087649354,2.7510000000000003,6.8870000000000005
12/9/2019,30.12,30.21,24,16,10062268.0,2.785,6.973,0.42,,,,,-0.005271828665568373,2.785,6.973
12/6/2019,30.35,30.19,24,31,10877458.0,2.783,6.968,1.02,,,,,-0.001329787234042525,2.783,6.968
12/5/2019,30.08,30.04,24,31,11069841.0,2.7689999999999997,6.934,0.6,,,,,-0.0059642147117296125,2.7689999999999997,6.934
12/4/2019,30.18,30.0,24,31,9778965.0,2.765,6.9239999999999995,0.51,,,,,0.0010020040080159513,2.765,6.9239999999999995
12/3/2019,29.94,29.97,24,31,16559336.0,2.763,6.917000000000001,0.72,,,,,-0.015852474927207972,2.763,6.917000000000001
12/2/2019,30.91,30.42,24,31,14550075.0,2.804,7.021,1.53,,,,,-0.0064288010286081415,2.804,7.021
11/29/2019,31.11,30.91,23,0,7814538.0,2.8489999999999998,7.1339999999999995,1.83,,,,,0.005483870967741991,2.8489999999999998,7.1339999999999995
11/27/2019,31.0,31.17,23,0,14190189.0,2.873,7.194,1.83,,,,,0.012757605495583925,2.873,7.194
11/26/2019,30.57,30.96,23,0,16356423.0,2.8539999999999996,7.146,1.75,,,,,0.013607699966810494,2.8539999999999996,7.146
11/25/2019,30.13,30.54,23,0,14050926.0,2.815,7.0489999999999995,1.49,,,,,0.00535654502845665,2.815,7.0489999999999995
11/22/2019,29.87,30.03,23,16,14188275.0,2.7680000000000002,6.931,0.49,,,,,0.02020547945205479,2.7680000000000002,6.931
11/21/2019,29.2,29.79,23,16,24304440.0,2.7460000000000004,6.876,-0.02,,,,,-0.004436860068259351,2.7460000000000004,6.876
11/20/2019,29.3,29.17,23,16,14289029.0,2.6889999999999996,6.733,-0.88,,,,,-0.006076975016880476,2.6889999999999996,6.733
11/19/2019,29.62,29.44,23,16,9962480.0,2.714,6.795,-0.18,,,,,0.008549931600547196,2.714,6.795
11/18/2019,29.24,29.49,23,16,14537556.0,2.718,6.807,-0.48,,,,,0.006884681583476739,2.718,6.807
11/15/2019,29.05,29.25,23,31,12170598.0,2.696,6.751,-0.61,,,,,-0.009259259259259245,2.696,6.751
11/14/2019,29.16,28.89,23,31,13714694.0,2.6630000000000003,6.667999999999999,-0.96,,,,,0.00137741046831953,2.6630000000000003,6.667999999999999
11/13/2019,29.04,29.08,23,31,9316396.0,2.68,6.712000000000001,-0.98,,,,,-0.010558583106266986,2.68,6.712000000000001
11/12/2019,29.36,29.05,23,31,15144150.0,2.678,6.705,-1.25,,,,,0.007209062821833191,2.678,6.705
11/11/2019,29.13,29.34,23,31,9693171.0,2.7039999999999997,6.772,-1.41,,,,,0.001714677640603591,2.7039999999999997,6.772
11/8/2019,29.16,29.21,23,16,10624448.0,2.6919999999999997,6.742000000000001,-9.62,,,,,0.0017241379310345072,2.6919999999999997,6.742000000000001
11/7/2019,29.0,29.05,23,16,22740598.0,2.678,6.705,-9.76,,,,,-0.010385259631490862,2.678,6.705
11/6/2019,29.85,29.54,23,16,15313793.0,2.7230000000000003,6.818,-10.55,,,,,-0.012586949320967293,2.7230000000000003,6.818
11/5/2019,30.19,29.81,23,16,16645852.0,2.748,6.881,-9.18,,,,,0.009405441719852239,2.748,6.881
11/4/2019,29.77,30.05,23,16,20340172.0,2.77,6.936,-9.56,,,,,-0.011348464619492652,2.77,6.936
11/1/2019,29.96,29.62,23,32,22716680.0,2.73,6.837000000000001,-10.29,,,,,0.0169664065151001,2.73,6.837000000000001
10/31/2019,29.47,29.97,22,32,36865132.0,2.763,6.917000000000001,-10.31,,,,,-0.009618573797678248,2.763,6.917000000000001
10/30/2019,30.15,29.86,22,32,25518730.0,2.752,6.892,-9.92,,,,,-0.004999999999999952,2.752,6.892
10/29/2019,30.0,29.85,22,32,20674782.0,2.7510000000000003,6.89,-10.51,,,,,-0.014426229508196763,2.7510000000000003,6.89
10/28/2019,30.5,30.06,22,32,29893916.0,2.7710000000000004,6.938,-9.48,,,,,-0.01846452866861031,2.7710000000000004,6.938
10/25/2019,30.87,30.3,22,96,43837196.0,2.793,6.994,-9.2,,,,,-0.03483992467043313,2.793,6.994
10/24/2019,31.86,30.75,22,96,106271088.0,2.8339999999999996,7.097,-8.95,,,,,-0.004103616311874934,2.8339999999999996,7.097
10/23/2019,38.99,38.83,22,96,20530728.0,3.5789999999999997,8.962,-1.97,,,,,-0.04125494071146232,3.5789999999999997,8.962
10/22/2019,40.48,38.81,22,96,13082856.0,3.577,8.958,-1.55,,,,,0.01880559085133423,3.577,8.958
10/21/2019,39.35,40.09,22,96,9570554.0,3.695,9.253,0.09,,,,,-0.017636684303350865,3.695,9.253
10/18/2019,39.69,38.99,22,0,12593948.0,3.594,8.999,-0.71,,,,,-0.012711864406779612,3.594,8.999
10/17/2019,40.12,39.61,22,0,7194894.0,3.6510000000000002,9.142000000000001,-0.64,,,,,-0.002499375156210983,3.6510000000000002,9.142000000000001
10/16/2019,40.01,39.91,22,0,8413587.0,3.679,9.212,-1.29,,,,,0.01820020222446913,3.679,9.212
10/15/2019,39.56,40.28,22,0,7751263.0,3.713,9.297,-1.07,,,,,-0.013392857142857121,3.713,9.297
10/14/2019,40.32,39.78,22,0,6460851.0,3.667,9.182,-2.66,,,,,0.011782401604412105,3.667,9.182
10/11/2019,39.89,40.36,22,16,9283524.0,3.72,9.316,-2.14,,,,,0.0050838840874426975,3.72,9.316
10/10/2019,39.34,39.54,22,16,6831719.0,3.645,9.126,-1.88,,,,,-0.012253063265816504,3.645,9.126
10/9/2019,39.99,39.5,22,16,8077170.0,3.641,9.117,-3.88,,,,,-0.01756990843850517,3.641,9.117
10/8/2019,40.41,39.7,22,16,8003323.0,3.659,9.163,-3.53,,,,,0.013916500994035665,3.659,9.163
10/7/2019,40.24,40.8,22,16,6614109.0,3.761,9.417,-2.13,,,,,0.0,3.761,9.417
10/4/2019,40.36,40.36,22,16,6321528.0,3.72,9.316,-2.88,,,,,0.010356150543066343,3.72,9.316
10/3/2019,39.59,40.0,22,16,13662706.0,3.687,9.232000000000001,-3.24,,,,,-0.010468594217347822,3.687,9.232000000000001
10/2/2019,40.12,39.7,22,16,10182492.0,3.659,9.163,-3.06,,,,,-0.025895450145208138,3.659,9.163
10/1/2019,41.32,40.25,22,16,9471078.0,3.71,9.29,-2.38,,,,,-0.006271104679208828,3.71,9.29
9/30/2019,41.46,41.2,21,16,8116140.0,3.798,9.509,-2.0,,,,,-0.027058823529411732,3.798,9.509
9/27/2019,42.5,41.35,21,16,11941098.0,3.827,9.692,-1.9,,,,,0.0014157621519583568,3.827,9.692
9/26/2019,42.38,42.44,21,16,5996251.0,3.928,9.948,-0.81,,,,,0.02384967477716218,3.928,9.948
9/25/2019,41.51,42.5,21,16,9829286.0,3.9339999999999997,9.962,-1.76,,,,,-0.05239075726378401,3.9339999999999997,9.962
9/24/2019,43.71,41.42,21,16,16367766.0,3.8339999999999996,9.709,-4.0,,,,,0.0020790020790021576,3.8339999999999996,9.709
9/23/2019,43.29,43.38,21,16,10022210.0,4.015,10.168,-1.92,,,,,0.0016218721037998213,4.015,10.168
9/20/2019,43.16,43.23,21,16,19430882.0,4.001,10.133,-0.13,,,,,-0.00601991201667048,4.001,10.133
9/19/2019,43.19,42.93,21,16,7420515.0,3.9739999999999998,10.062999999999999,0.97,,,,,0.0006942837306179388,3.9739999999999998,10.062999999999999
9/18/2019,43.21,43.24,21,16,7866682.0,4.002,10.135,0.935,,,,,0.007925407925408004,4.002,10.135
9/17/2019,42.9,43.24,21,16,8702119.0,4.002,10.135,0.59,,,,,0.008490566037735837,4.002,10.135
9/16/2019,42.4,42.76,21,16,6187891.0,3.958,10.023,0.27,,,,,-0.012050984936268739,3.958,10.023
9/13/2019,43.15,42.63,21,32,8059593.0,3.946,9.992,0.95,,,,,-0.01279707495429605,3.946,9.992
9/12/2019,43.76,43.2,21,32,8251661.0,3.9989999999999997,10.126,1.06,,,,,-0.006888633754305332,3.9989999999999997,10.126
9/11/2019,43.55,43.25,21,32,7861181.0,4.003,10.138,1.81,,,,,-0.014806378132118419,4.003,10.138
9/10/2019,43.9,43.25,21,32,14040139.0,4.003,10.138,2.25,,,,,-0.029385964912280776,4.003,10.138
9/9/2019,45.6,44.26,21,32,14547404.0,4.0969999999999995,10.374,2.08,,,,,0.004422821760283123,4.0969999999999995,10.374
9/6/2019,45.22,45.42,21,16,13108529.0,4.204,10.645999999999999,2.62,,,,,0.03471904979442659,4.204,10.645999999999999
9/5/2019,43.78,45.3,21,16,19355980.0,4.1930000000000005,10.618,3.01,,,,,0.020475405977877087,4.1930000000000005,10.618
9/4/2019,42.49,43.36,21,16,11590139.0,4.013,10.164,1.66,,,,,-0.009910335063709336,4.013,10.164
9/3/2019,42.38,41.96,21,16,16176351.0,3.884,9.835,1.38,,,,,-0.0011709601873537297,3.884,9.835
8/30/2019,42.7,42.65,20,0,8866979.0,3.948,9.997,2.0,,,,,0.0056804733727811125,3.948,9.997
8/29/2019,42.25,42.49,20,0,10605566.0,3.9330000000000003,9.96,0.68,,,,,-0.001676646706586833,3.9330000000000003,9.96
8/28/2019,41.75,41.68,20,0,10430501.0,3.858,9.77,1.2,,,,,0.003094501309212153,3.858,9.77
8/27/2019,42.01,42.14,20,0,16104784.0,3.9,9.878,0.61,,,,,0.0009661835748792065,3.9,9.878
8/26/2019,41.4,41.44,20,0,6404899.0,3.8360000000000003,9.713,-0.63,,,,,-0.01960784313725491,3.8360000000000003,9.713
8/23/2019,41.82,41.0,20,17,14070412.0,3.795,9.61,-0.73,,,,,-0.015635939323220577,3.795,9.61
8/22/2019,42.85,42.18,20,17,8283589.0,3.904,9.887,0.86,,,,,-0.0007004436142890763,3.904,9.887
8/21/2019,42.83,42.8,20,17,12025062.0,3.9619999999999997,10.032,2.43,,,,,0.015609990393852032,3.9619999999999997,10.032
8/20/2019,41.64,42.29,20,17,11356679.0,3.9139999999999997,9.913,-0.56,,,,,0.014598540145985436,3.9139999999999997,9.913
8/19/2019,41.1,41.7,20,17,10276535.0,3.86,9.774,-0.38,,,,,0.006947890818858589,3.86,9.774
8/16/2019,40.3,40.58,20,18,7998824.0,3.7560000000000002,9.512,-1.73,,,,,-0.019804400977994994,3.7560000000000002,9.512
8/15/2019,40.9,40.09,20,18,12583109.0,3.7110000000000003,9.397,-0.91,,,,,-0.009261515963928895,3.7110000000000003,9.397
8/14/2019,41.03,40.65,20,18,11638683.0,3.763,9.527999999999999,-0.85,,,,,0.03464488987874303,3.763,9.527999999999999
8/13/2019,40.41,41.81,20,18,12567826.0,3.87,9.8,0.29,,,,,-0.015085158150851692,3.87,9.8
8/12/2019,41.1,40.48,20,18,6934521.0,3.747,9.488,2.36,,,,,-0.005983724269985639,3.747,9.488
8/9/2019,41.78,41.53,20,0,11419630.0,3.844,9.735,2.8,,,,,-0.0009498931370220647,3.844,9.735
8/8/2019,42.11,42.07,20,0,14684635.0,3.8939999999999997,9.861,4.17,,,,,0.030116020735620808,3.8939999999999997,9.861
8/7/2019,40.51,41.73,20,0,15427589.0,3.863,9.781,4.15,,,,,0.009775171065493611,3.863,9.781
8/6/2019,40.92,41.32,20,0,15077881.0,3.825,9.685,4.55,,,,,-0.029100529100529123,3.825,9.685
8/5/2019,41.58,40.37,20,0,23081000.0,3.737,9.463,2.71,,,,,0.024629363940698257,3.737,9.463
8/2/2019,41.82,42.85,20,36,20617168.0,3.966,10.044,5.15,,,,,-0.01081335213916316,3.966,10.044
8/1/2019,42.54,42.08,20,36,22883636.0,3.895,9.863,4.09,,,,,0.02994157740993194,3.895,9.863
7/31/2019,41.08,42.31,19,36,29745346.0,3.9160000000000004,9.917,3.63,,,,,-0.001947419668938615,3.9160000000000004,9.917
7/30/2019,41.08,41.0,19,36,15670564.0,3.795,9.61,3.16,,,,,0.0,3.795,9.61
7/29/2019,41.5,41.5,19,36,21170552.0,3.841,9.728,4.29,,,,,0.03618667332168712,3.841,9.728
7/26/2019,40.07,41.52,19,36,57527564.0,3.843,9.732000000000001,4.05,,,,,-0.02256410256410263,3.843,9.732000000000001
7/25/2019,39.0,38.12,19,36,21255432.0,3.528,8.935,0.47,,,,,0.01921052631578939,3.528,8.935
7/24/2019,38.0,38.73,19,36,12488470.0,3.585,9.078,2.28,,,,,0.0007921837866385302,3.585,9.078
7/23/2019,37.87,37.9,19,36,10741460.0,3.508,8.884,1.65,,,,,0.01787648970747553,3.508,8.884
7/22/2019,36.92,37.58,19,36,8415150.0,3.478,8.809,1.445,,,,,-0.0313487881981032,3.478,8.809
7/19/2019,37.96,36.77,19,18,10842400.0,3.403,8.619,0.75,,,,,0.007221182134260391,3.403,8.619
7/18/2019,37.39,37.66,19,18,11125887.0,3.486,8.827,1.44,,,,,-0.004226096143687179,3.486,8.827
7/17/2019,37.86,37.7,19,18,7926602.0,3.489,8.837,1.62,,,,,-0.020371325425477028,3.489,8.837
7/16/2019,38.78,37.99,19,18,10979576.0,3.516,8.905,3.09,,,,,0.017894736842105255,3.516,8.905
7/15/2019,38.0,38.68,19,18,12738673.0,3.58,9.067,3.93,,,,,0.012576933369012737,3.58,9.067
7/12/2019,37.37,37.84,19,26,8048674.0,3.502,8.87,2.62,,,,,-0.011949017525225591,3.502,8.87
7/11/2019,37.66,37.21,19,26,8549479.0,3.444,8.722000000000001,2.49,,,,,-0.011345646437994716,3.444,8.722000000000001
7/10/2019,37.9,37.47,19,26,11831813.0,3.468,8.783,1.89,,,,,0.035763411279229634,3.468,8.783
7/9/2019,36.35,37.65,19,26,14217970.0,3.485,8.825,2.63,,,,,0.011376248612652712,3.485,8.825
7/8/2019,36.04,36.45,19,26,8058474.0,3.3739999999999997,8.544,1.01,,,,,0.006944444444444444,3.3739999999999997,8.544
7/5/2019,36.0,36.25,19,0,6084815.0,3.355,8.497,-0.04,,,,,-0.007440066133921081,3.355,8.497
7/3/2019,36.29,36.02,19,0,5372634.0,3.3339999999999996,8.443,-0.42,,,,,0.0013823610727121138,3.3339999999999996,8.443
7/2/2019,36.17,36.22,19,0,8398931.0,3.353,8.49,0.07,,,,,0.016338028169014036,3.353,8.49
7/1/2019,35.5,36.08,19,0,14416765.0,3.34,8.457,-0.26,,,,,0.004316546762589887,3.34,8.457
6/28/2019,34.75,34.9,18,18,15505289.0,3.781,8.469,-2.59,,,,,-0.01946952595936788,3.781,8.469
6/27/2019,35.44,34.75,18,18,12655890.0,3.764,8.433,-2.46,,,,,0.006861063464837107,3.764,8.433
6/26/2019,34.98,35.22,18,18,8744768.0,3.815,8.547,-2.42,,,,,-0.02252252252252264,3.815,8.547
6/25/2019,35.52,34.72,18,18,11196392.0,3.761,8.426,-3.21,,,,,0.011082693947144092,3.761,8.426
6/24/2019,35.19,35.58,18,18,9216830.0,3.8539999999999996,8.634,-1.01,,,,,-0.013521126760563293,3.8539999999999996,8.634
6/21/2019,35.5,35.02,18,18,12853620.0,3.7939999999999996,8.498,-1.31,,,,,-0.025034387895460898,3.7939999999999996,8.498
6/20/2019,36.35,35.44,18,18,19676060.0,3.839,8.6,-0.66,,,,,-0.009282009282009375,3.839,8.6
6/19/2019,36.63,36.29,18,18,12059707.0,3.931,8.807,1.86,,,,,-0.0016344320348679452,3.931,8.807
6/18/2019,36.71,36.65,18,18,12705487.0,3.97,8.894,0.21,,,,,0.004964147821290671,3.97,8.894
6/17/2019,36.26,36.44,18,18,7895968.0,3.947,8.843,-0.7,,,,,-0.0057755775577557995,3.947,8.843
6/14/2019,36.36,36.15,18,26,7791057.0,3.9160000000000004,8.773,-0.7,,,,,-0.01889848812095021,3.9160000000000004,8.773
6/13/2019,37.04,36.34,18,26,21679416.0,3.937,8.818999999999999,-0.95,,,,,0.009695663883652018,3.937,8.818999999999999
6/12/2019,37.13,37.49,18,26,6795451.0,4.061,9.097999999999999,0.14,,,,,-0.0231031766867945,4.061,9.097999999999999
6/11/2019,38.09,37.21,18,26,9528602.0,4.031000000000001,9.03,-0.2,,,,,-0.018513689700130398,4.031000000000001,9.03
6/10/2019,38.35,37.64,18,26,10036385.0,4.077,9.134,0.45,,,,,0.02874966097097918,4.077,9.134
6/7/2019,36.87,37.93,18,0,15399731.0,4.109,9.205,-0.65,,,,,0.009100937672366393,4.109,9.205
6/6/2019,36.26,36.59,18,0,8862950.0,3.964,8.879,-0.88,,,,,-0.004657534246575389,3.964,8.879
6/5/2019,36.5,36.33,18,0,12798679.0,3.9360000000000004,8.816,-0.82,,,,,0.026151222285389474,3.9360000000000004,8.816
6/4/2019,35.18,36.1,18,0,15357128.0,3.911,8.761000000000001,-1.4,,,,,-0.05541838134430735,3.911,8.761000000000001
6/3/2019,36.45,34.43,18,0,22217080.0,3.73,8.355,-3.87,,,,,-0.00491534680502457,3.73,8.355
5/31/2019,36.62,36.44,17,0,8556067.0,3.947,8.843,-1.46,,,,,0.0037837837837837993,3.947,8.843
5/30/2019,37.0,37.14,17,0,7413128.0,4.023,9.013,0.21,,,,,-0.004592112371691023,4.023,9.013
5/29/2019,37.02,36.85,17,0,12270334.0,3.992,8.943,0.26,,,,,-0.0032076984763431556,3.992,8.943
5/28/2019,37.41,37.29,17,0,11770272.0,4.04,9.049,-1.16,,,,,-0.0016012810248199167,4.04,9.049
5/24/2019,37.47,37.41,17,0,9303870.0,4.053,9.078,-1.17,,,,,-0.025163826998689406,4.053,9.078
5/23/2019,38.15,37.19,17,0,18398792.0,4.029,9.025,-1.43,,,,,0.03127506014434648,4.029,9.025
5/22/2019,37.41,38.58,17,0,21105428.0,4.178999999999999,9.362,-1.65,,,,,0.0,4.178999999999999,9.362
5/21/2019,37.47,37.47,17,0,8861388.0,4.059,9.093,-3.33,,,,,0.0008081896551724445,4.059,9.093
5/20/2019,37.12,37.15,17,0,9411902.0,4.024,9.015,-2.8,,,,,-0.008723235527359194,4.024,9.015
5/17/2019,37.83,37.5,17,17,9090265.0,4.062,9.1,-1.79,,,,,0.004985568092364149,4.062,9.1
5/16/2019,38.11,38.3,17,17,10104398.0,4.149,9.294,-1.61,,,,,0.03354240523588756,4.149,9.294
5/15/2019,36.67,37.9,17,17,11523055.0,4.106,9.197000000000001,-1.88,,,,,-0.002969762419006464,4.106,9.197000000000001
5/14/2019,37.04,36.93,17,17,11125110.0,4.001,8.962,-1.74,,,,,-0.024266666666666575,4.001,8.962
5/13/2019,37.5,36.59,17,17,16829698.0,3.964,8.879,-1.89,,,,,-0.005946225439503539,3.964,8.879
5/10/2019,38.68,38.45,17,34,12258962.0,4.165,9.331,-0.84,,,,,0.017843085804250845,4.165,9.331
5/9/2019,38.11,38.79,17,34,10010669.0,4.202,9.413,-0.98,,,,,0.003381014304291169,4.202,9.413
5/8/2019,38.45,38.58,17,34,9168440.0,4.178999999999999,9.362,4.19,,,,,-0.03208020050125316,4.178999999999999,9.362
