Category: All categories,

Week,$twtr: (United States)
2018-01-07,34
2018-01-14,17
2018-01-21,34
2018-01-28,34
2018-02-04,66
2018-02-11,42
2018-02-18,50
2018-02-25,33
2018-03-04,25
2018-03-11,0
2018-03-18,85
2018-03-25,53
2018-04-01,17
2018-04-08,17
2018-04-15,42
2018-04-22,69
2018-04-29,51
2018-05-06,17
2018-05-13,0
2018-05-20,18
2018-05-27,18
2018-06-03,71
2018-06-10,86
2018-06-17,36
2018-06-24,37
2018-07-01,37
2018-07-08,18
2018-07-15,27
2018-07-22,100
2018-07-29,45
2018-08-05,36
2018-08-12,18
2018-08-19,18
2018-08-26,18
2018-09-02,44
2018-09-09,17
2018-09-16,17
2018-09-23,17
2018-09-30,17
2018-10-07,18
2018-10-14,18
2018-10-21,52
2018-10-28,44
2018-11-04,66
2018-11-11,17
2018-11-18,36
2018-11-25,59
2018-12-02,34
2018-12-09,17
2018-12-16,18
2018-12-23,20
2018-12-30,37
2019-01-06,43
2019-01-13,0
2019-01-20,17
2019-01-27,17
2019-02-03,24
2019-02-10,33
2019-02-17,33
2019-02-24,33
2019-03-03,33
2019-03-10,17
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,17
2019-04-14,17
2019-04-21,44
2019-04-28,25
2019-05-05,34
2019-05-12,17
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,26
2019-06-16,18
2019-06-23,18
2019-06-30,0
2019-07-07,26
2019-07-14,18
2019-07-21,36
2019-07-28,36
2019-08-04,0
2019-08-11,18
2019-08-18,17
2019-08-25,0
2019-09-01,16
2019-09-08,32
2019-09-15,16
2019-09-22,16
2019-09-29,16
2019-10-06,16
2019-10-13,0
2019-10-20,96
2019-10-27,32
2019-11-03,16
2019-11-10,31
2019-11-17,16
2019-11-24,0
2019-12-01,31
2019-12-08,16
2019-12-15,0
2019-12-22,18
2019-12-29,17